mode,position,alpha,sample_idx,correct,n_steps,logit_margin,predicted_word,expected_word,neg_word
swap,0,0,0,1,3,0.0,lempus,lempus,scrompus
swap,1,-1200,0,1,3,0.0,lempus,lempus,scrompus
swap,1,-600,0,1,3,0.0,lempus,lempus,scrompus
swap,1,-300,0,1,3,0.0,lempus,lempus,scrompus
swap,1,-100,0,1,3,0.0,lempus,lempus,scrompus
swap,1,100,0,1,3,0.0,lempus,lempus,scrompus
swap,1,300,0,1,3,0.0,lempus,lempus,scrompus
swap,1,600,0,1,3,0.0,lempus,lempus,scrompus
swap,1,1200,0,1,3,0.0,lempus,lempus,scrompus
swap,2,-1200,0,1,3,0.0,lempus,lempus,scrompus
swap,2,-600,0,1,3,0.0,lempus,lempus,scrompus
swap,2,-300,0,1,3,0.0,lempus,lempus,scrompus
swap,2,-100,0,1,3,0.0,lempus,lempus,scrompus
swap,2,100,0,1,3,0.0,lempus,lempus,scrompus
swap,2,300,0,1,3,0.0,lempus,lempus,scrompus
swap,2,600,0,1,3,0.0,lempus,lempus,scrompus
swap,2,1200,0,1,3,0.0,lempus,lempus,scrompus
swap,3,-1200,0,1,3,0.0,lempus,lempus,scrompus
swap,3,-600,0,1,3,0.0,lempus,lempus,scrompus
swap,3,-300,0,1,3,0.0,lempus,lempus,scrompus
swap,3,-100,0,1,3,0.0,lempus,lempus,scrompus
swap,3,100,0,1,3,0.0,lempus,lempus,scrompus
swap,3,300,0,1,3,0.0,lempus,lempus,scrompus
swap,3,600,0,1,3,0.0,lempus,lempus,scrompus
swap,3,1200,0,1,3,0.0,lempus,lempus,scrompus
swap,4,-1200,0,1,3,0.0,lempus,lempus,scrompus
swap,4,-600,0,1,3,0.0,lempus,lempus,scrompus
swap,4,-300,0,1,3,0.0,lempus,lempus,scrompus
swap,4,-100,0,1,3,0.0,lempus,lempus,scrompus
swap,4,100,0,1,3,0.0,lempus,lempus,scrompus
swap,4,300,0,1,3,0.0,lempus,lempus,scrompus
swap,4,600,0,1,3,0.0,lempus,lempus,scrompus
swap,4,1200,0,1,3,0.0,lempus,lempus,scrompus
swap,5,-1200,0,1,3,0.0,lempus,lempus,scrompus
swap,5,-600,0,1,3,0.0,lempus,lempus,scrompus
swap,5,-300,0,1,3,0.0,lempus,lempus,scrompus
swap,5,-100,0,1,3,0.0,lempus,lempus,scrompus
swap,5,100,0,1,3,0.0,lempus,lempus,scrompus
swap,5,300,0,1,3,0.0,lempus,lempus,scrompus
swap,5,600,0,1,3,0.0,lempus,lempus,scrompus
swap,5,1200,0,1,3,0.0,lempus,lempus,scrompus
swap,0,0,1,1,4,0.0,worpus,worpus,fompus
swap,1,-1200,1,1,4,0.0,worpus,worpus,fompus
swap,1,-600,1,1,4,0.0,worpus,worpus,fompus
swap,1,-300,1,1,4,0.0,worpus,worpus,fompus
swap,1,-100,1,1,4,0.0,worpus,worpus,fompus
swap,1,100,1,1,4,0.0,worpus,worpus,fompus
swap,1,300,1,1,4,0.0,worpus,worpus,fompus
swap,1,600,1,1,4,0.0,worpus,worpus,fompus
swap,1,1200,1,1,4,0.0,worpus,worpus,fompus
swap,2,-1200,1,1,4,0.0,worpus,worpus,fompus
swap,2,-600,1,1,4,0.0,worpus,worpus,fompus
swap,2,-300,1,1,4,0.0,worpus,worpus,fompus
swap,2,-100,1,1,4,0.0,worpus,worpus,fompus
swap,2,100,1,1,4,0.0,worpus,worpus,fompus
swap,2,300,1,1,4,0.0,worpus,worpus,fompus
swap,2,600,1,1,4,0.0,worpus,worpus,fompus
swap,2,1200,1,1,4,0.0,worpus,worpus,fompus
swap,3,-1200,1,1,4,0.0,worpus,worpus,fompus
swap,3,-600,1,1,4,0.0,worpus,worpus,fompus
swap,3,-300,1,1,4,0.0,worpus,worpus,fompus
swap,3,-100,1,1,4,0.0,worpus,worpus,fompus
swap,3,100,1,1,4,0.0,worpus,worpus,fompus
swap,3,300,1,1,4,0.0,worpus,worpus,fompus
swap,3,600,1,1,4,0.0,worpus,worpus,fompus
swap,3,1200,1,1,4,0.0,worpus,worpus,fompus
swap,4,-1200,1,1,4,0.0,worpus,worpus,fompus
swap,4,-600,1,1,4,0.0,worpus,worpus,fompus
swap,4,-300,1,1,4,0.0,worpus,worpus,fompus
swap,4,-100,1,1,4,0.0,worpus,worpus,fompus
swap,4,100,1,1,4,0.0,worpus,worpus,fompus
swap,4,300,1,1,4,0.0,worpus,worpus,fompus
swap,4,600,1,1,4,0.0,worpus,worpus,fompus
swap,4,1200,1,1,4,0.0,worpus,worpus,fompus
swap,5,-1200,1,1,4,0.0,worpus,worpus,fompus
swap,5,-600,1,1,4,0.0,worpus,worpus,fompus
swap,5,-300,1,1,4,0.0,worpus,worpus,fompus
swap,5,-100,1,1,4,0.0,worpus,worpus,fompus
swap,5,100,1,1,4,0.0,worpus,worpus,fompus
swap,5,300,1,1,4,0.0,worpus,worpus,fompus
swap,5,600,1,1,4,0.0,worpus,worpus,fompus
swap,5,1200,1,1,4,0.0,worpus,worpus,fompus
swap,0,0,2,0,4,0.0,bompus,gwompus,bompus
swap,1,-1200,2,1,4,0.0,gwompus,gwompus,bompus
swap,1,-600,2,1,4,0.0,gwompus,gwompus,bompus
swap,1,-300,2,0,4,0.0,bompus,gwompus,bompus
swap,1,-100,2,0,4,0.0,bompus,gwompus,bompus
swap,1,100,2,0,4,0.0,bompus,gwompus,bompus
swap,1,300,2,1,4,0.0,gwompus,gwompus,bompus
swap,1,600,2,1,4,0.0,gwompus,gwompus,bompus
swap,1,1200,2,0,4,0.0,bompus,gwompus,bompus
swap,2,-1200,2,0,4,0.0,bompus,gwompus,bompus
swap,2,-600,2,0,4,0.0,bompus,gwompus,bompus
swap,2,-300,2,0,4,0.0,bompus,gwompus,bompus
swap,2,-100,2,0,4,0.0,bompus,gwompus,bompus
swap,2,100,2,0,4,0.0,bompus,gwompus,bompus
swap,2,300,2,0,4,0.0,bompus,gwompus,bompus
swap,2,600,2,0,4,0.0,bompus,gwompus,bompus
swap,2,1200,2,0,4,0.0,bompus,gwompus,bompus
swap,3,-1200,2,0,4,0.0,bompus,gwompus,bompus
swap,3,-600,2,0,4,0.0,bompus,gwompus,bompus
swap,3,-300,2,0,4,0.0,bompus,gwompus,bompus
swap,3,-100,2,0,4,0.0,bompus,gwompus,bompus
swap,3,100,2,0,4,0.0,bompus,gwompus,bompus
swap,3,300,2,0,4,0.0,bompus,gwompus,bompus
swap,3,600,2,1,4,0.0,gwompus,gwompus,bompus
swap,3,1200,2,0,4,0.0,bompus,gwompus,bompus
swap,4,-1200,2,0,4,0.0,bompus,gwompus,bompus
swap,4,-600,2,0,4,0.0,bompus,gwompus,bompus
swap,4,-300,2,0,4,0.0,bompus,gwompus,bompus
swap,4,-100,2,0,4,0.0,bompus,gwompus,bompus
swap,4,100,2,0,4,0.0,bompus,gwompus,bompus
swap,4,300,2,0,4,0.0,bompus,gwompus,bompus
swap,4,600,2,1,4,0.0,gwompus,gwompus,bompus
swap,4,1200,2,1,4,0.0,gwompus,gwompus,bompus
swap,5,-1200,2,0,4,0.0,bompus,gwompus,bompus
swap,5,-600,2,0,4,0.0,bompus,gwompus,bompus
swap,5,-300,2,0,4,0.0,bompus,gwompus,bompus
swap,5,-100,2,0,4,0.0,bompus,gwompus,bompus
swap,5,100,2,0,4,0.0,bompus,gwompus,bompus
swap,5,300,2,0,4,0.0,bompus,gwompus,bompus
swap,5,600,2,1,4,0.0,gwompus,gwompus,bompus
swap,5,1200,2,1,4,0.0,gwompus,gwompus,bompus
swap,0,0,3,1,4,0.0,storpus,storpus,felpus
swap,1,-1200,3,1,4,0.0,storpus,storpus,felpus
swap,1,-600,3,1,4,0.0,storpus,storpus,felpus
swap,1,-300,3,1,4,0.0,storpus,storpus,felpus
swap,1,-100,3,1,4,0.0,storpus,storpus,felpus
swap,1,100,3,1,4,0.0,storpus,storpus,felpus
swap,1,300,3,1,4,0.0,storpus,storpus,felpus
swap,1,600,3,1,4,0.0,storpus,storpus,felpus
swap,1,1200,3,1,4,0.0,storpus,storpus,felpus
swap,2,-1200,3,1,4,0.0,storpus,storpus,felpus
swap,2,-600,3,1,4,0.0,storpus,storpus,felpus
swap,2,-300,3,1,4,0.0,storpus,storpus,felpus
swap,2,-100,3,1,4,0.0,storpus,storpus,felpus
swap,2,100,3,1,4,0.0,storpus,storpus,felpus
swap,2,300,3,1,4,0.0,storpus,storpus,felpus
swap,2,600,3,1,4,0.0,storpus,storpus,felpus
swap,2,1200,3,1,4,0.0,storpus,storpus,felpus
swap,3,-1200,3,1,4,0.0,storpus,storpus,felpus
swap,3,-600,3,1,4,0.0,storpus,storpus,felpus
swap,3,-300,3,1,4,0.0,storpus,storpus,felpus
swap,3,-100,3,1,4,0.0,storpus,storpus,felpus
swap,3,100,3,1,4,0.0,storpus,storpus,felpus
swap,3,300,3,1,4,0.0,storpus,storpus,felpus
swap,3,600,3,1,4,0.0,storpus,storpus,felpus
